judge,model,model_short,faviscore,n
gpt-4o-mini,gpt-4-0613,GPT-4,0.07606679035250463,539
gpt-4o-mini,gpt-3.5-turbo-0613,GPT-3.5,-0.021822849807445442,779
gpt-4o-mini,llama-2-70b-chat,L2-70b,0.21711568938193343,631
gpt-4o-mini,llama-2-13b-chat,L2-13b,-0.010706638115631691,467
gpt-4o-mini,mixtral-8x7b-instruct-v0.1,Mix-8x7b,0.09818181818181818,550
gpt-4o-mini,mistral-7b-instruct,Mis-7b,-0.5614973262032086,374
gpt-3.5-turbo,gpt-4-0613,GPT-4,-0.1509433962264151,424
gpt-3.5-turbo,gpt-3.5-turbo-0613,GPT-3.5,-0.10217755443886097,597
gpt-3.5-turbo,llama-2-70b-chat,L2-70b,0.3097713097713098,481
gpt-3.5-turbo,llama-2-13b-chat,L2-13b,0.1790633608815427,363
gpt-3.5-turbo,mixtral-8x7b-instruct-v0.1,Mix-8x7b,0.17060367454068243,381
gpt-3.5-turbo,mistral-7b-instruct,Mis-7b,-0.5460992907801419,282
mixtral-8x7b,gpt-4-0613,GPT-4,-0.13317191283292978,413
mixtral-8x7b,gpt-3.5-turbo-0613,GPT-3.5,-0.10333333333333333,600
mixtral-8x7b,llama-2-70b-chat,L2-70b,0.268,500
mixtral-8x7b,llama-2-13b-chat,L2-13b,0.2607449856733524,349
mixtral-8x7b,mixtral-8x7b-instruct-v0.1,Mix-8x7b,0.14018691588785046,428
mixtral-8x7b,mistral-7b-instruct,Mis-7b,-0.6,280
mistral-7b,gpt-4-0613,GPT-4,-0.2,325
mistral-7b,gpt-3.5-turbo-0613,GPT-3.5,-0.1592356687898089,471
mistral-7b,llama-2-70b-chat,L2-70b,0.4246575342465753,365
mistral-7b,llama-2-13b-chat,L2-13b,0.22178988326848248,257
mistral-7b,mixtral-8x7b-instruct-v0.1,Mix-8x7b,0.13099041533546327,313
mistral-7b,mistral-7b-instruct,Mis-7b,-0.5113122171945701,221
llama2-13b,gpt-4-0613,GPT-4,-0.4074074074074074,189
llama2-13b,gpt-3.5-turbo-0613,GPT-3.5,-0.2283464566929134,254
llama2-13b,llama-2-70b-chat,L2-70b,0.47,200
llama2-13b,llama-2-13b-chat,L2-13b,0.4125874125874126,143
llama2-13b,mixtral-8x7b-instruct-v0.1,Mix-8x7b,0.19760479041916168,167
llama2-13b,mistral-7b-instruct,Mis-7b,-0.4857142857142857,105
llama2-70b,gpt-4-0613,GPT-4,-0.47572815533980584,103
llama2-70b,gpt-3.5-turbo-0613,GPT-3.5,-0.2727272727272727,154
llama2-70b,llama-2-70b-chat,L2-70b,0.5703703703703704,135
llama2-70b,llama-2-13b-chat,L2-13b,0.34782608695652173,92
llama2-70b,mixtral-8x7b-instruct-v0.1,Mix-8x7b,0.2692307692307692,104
llama2-70b,mistral-7b-instruct,Mis-7b,-0.5897435897435898,78
